name hub_score
248253_at 1.20895609240986e-16
260555_at 1.86838668826978e-16
265006_at 2.85753258205966e-16
247373_at 1.51119511551232e-17
266258_at 2.41791218481971e-16
256438_s_at 4.67096672067444e-17
259326_at 2.41791218481971e-16
260132_s_at 1.31886119171984e-16
250179_at 1.09905099309987e-16
258821_at 4.73690978026044e-15
258937_at 7.14383145514915e-17
259225_at 2.63772238343969e-16
249625_at 3.84667847584954e-17
253996_at 2.85753258205966e-16
264441_at 2.47286473447471e-17
251552_at 1.31886119171984e-16
247010_at 1.6485764896498e-17
250974_at 2.41791218481971e-16
266535_s_at 2.41791218481971e-16
256065_at 1.51119511551232e-17
266074_at 2.19810198619974e-16
256597_at 1.23643236723735e-17
264913_at 2.06072061206225e-17
247520_at 1.75848158895979e-16
246699_at 7.69335695169908e-17
252328_at 1.37381374137484e-17
264679_s_at 3.02239023102464e-17
251740_at 2.85753258205966e-16
263371_at 2.63772238343969e-16
265101_at 1.53867139033982e-16
258922_at 1.09905099309987e-16
264849_at 1.97829178757976e-16
254190_at 9.14410426259091e-15
246965_at 8.24288244824902e-17
249975_s_at 2.08819688688975e-16
253202_at 2.19810198619974e-16
266822_at 1.6485764896498e-16
258656_at 2.19810198619974e-16
260605_at 4.69844299550194e-15
247739_at 6.59430595859921e-17
261272_at 1.37381374137484e-17
247465_at 8.79240794479895e-17
263759_at 2.41791218481971e-16
247006_at 4.80834809481193e-18
254429_at 1.15400354275486e-16
254734_at 1.6485764896498e-16
258623_at 1.86838668826978e-16
261019_at 9.34193344134889e-17
248473_at 1.53867139033982e-16
251707_at 3.51696317791958e-16
253593_at 1.6485764896498e-16
245909_at 1.92333923792477e-17
260541_at 1.81892939358028e-15
262611_at 2.63772238343969e-16
266980_at 2.19810198619974e-17
249343_at 2.31624996795797e-15
258105_at 3.68138532792855e-12
259090_at 2.19810198619974e-16
258079_at 3.07734278067963e-16
246384_at 2.45088371461271e-15
266239_at 1.86838668826978e-16
261314_at 8.24288244824902e-17
255749_at 6.59430595859921e-17
254594_at 2.47286473447471e-17
259123_at 7.69335695169908e-17
265445_at 2.30800708550973e-16
246559_at 3.57191572757457e-17
248746_at 9.89145893789882e-17
261508_at 2.63772238343969e-16
254030_at 3.51696317791958e-16
245106_at 1.75848158895979e-16
258453_at 5.49525496549935e-17
259515_at 1.97829178757976e-16
254355_at 5.49525496549935e-17
248614_at 1.31886119171984e-16
246265_at 7.14383145514915e-17
249427_at 6.86906870687418e-17
265899_s_at 1.31886119171984e-16
256812_at 4.80834809481193e-18
246538_at 1.97829178757976e-16
245147_at 1.23643236723735e-17
257058_at 1.42876629102983e-16
258701_at 1.97829178757976e-16
250895_at 1.53867139033982e-16
250168_at 7.41859420342412e-17
259069_at 1.42876629102983e-16
264166_at 1.78595786378729e-17
256648_at 2.41791218481971e-16
247641_at 2.74762748274967e-17
252147_at 2.63772238343969e-16
253777_at 1.20895609240986e-16
251403_at 1.51119511551232e-17
250721_at 1.42876629102983e-16
260351_at 3.02239023102464e-17
246944_at 7.90497286790572e-09
264803_at 1.42876629102983e-16
247735_at 9.89145893789882e-17
251537_at 2.63772238343969e-16
259908_at 2.63772238343969e-16
253203_at 6.18216183618676e-18
258726_at 3.29715297929961e-16
251094_at 1.09905099309987e-16
255871_at 6.04478046204928e-17
246730_at 1.42876629102983e-16
265358_at 5.49525496549935e-18
260323_at 1.20895609240986e-16
258792_at 1.04409844344488e-16
248979_at 4.47821509156153e-08
251018_at 6.04478046204928e-17
251355_at 6.86906870687418e-18
