name degree
248253_at 15
260555_at 19
265006_at 43
247373_at 2
266258_at 29
256438_s_at 5
259326_at 34
260132_s_at 17
250179_at 14
258821_at 22
258937_at 9
259225_at 34
249625_at 5
253996_at 37
264441_at 4
251552_at 21
247010_at 3
250974_at 35
266535_s_at 34
256065_at 2
266074_at 17
256597_at 2
264913_at 3
247520_at 22
246699_at 12
252328_at 2
264679_s_at 4
251740_at 35
263371_at 43
265101_at 21
258922_at 18
264849_at 31
254190_at 4
246965_at 12
249975_s_at 24
253202_at 30
266822_at 22
258656_at 25
260605_at 9
247739_at 7
261272_at 2
247465_at 12
263759_at 36
247006_at 0
254429_at 12
254734_at 24
258623_at 29
261019_at 11
248473_at 21
251707_at 45
253593_at 22
245909_at 3
260541_at 13
262611_at 38
266980_at 3
249343_at 4
258105_at 2
259090_at 27
258079_at 36
246384_at 17
266239_at 23
261314_at 10
255749_at 9
254594_at 4
259123_at 10
265445_at 25
246559_at 5
248746_at 11
261508_at 34
254030_at 48
245106_at 18
258453_at 8
259515_at 22
254355_at 7
248614_at 18
246265_at 10
249427_at 6
265899_s_at 14
256812_at 0
246538_at 31
245147_at 2
257058_at 15
258701_at 27
250895_at 19
250168_at 6
259069_at 20
264166_at 3
256648_at 36
247641_at 4
252147_at 36
253777_at 17
251403_at 2
250721_at 17
260351_at 4
246944_at 49
264803_at 22
247735_at 14
251537_at 34
259908_at 34
253203_at 1
258726_at 45
251094_at 17
255871_at 8
246730_at 20
265358_at 1
260323_at 13
258792_at 9
248979_at 115
251018_at 7
251355_at 1
244993_s_at 4
263224_at 24
251189_at 10
245512_at 18
256288_at 16
261470_at 1
266426_x_at 8
255520_at 31
257906_at 3
253942_at 5
252326_at 9
247978_at 37
246192_at 14
246457_at 29
257135_at 0
264658_at 7
263973_at 25
252117_at 3
259861_at 26
259977_at 3
250845_at 4
260584_at 2
254624_at 4
261951_at 0
246400_at 6
255685_s_at 18
263839_at 5
258158_at 88
259941_s_at 10
260517_at 0
245523_at 1
248942_at 1
266000_at 4
263016_at 5
250495_at 32
247409_at 1
264560_at 15
254784_at 2
261317_at 0
249055_at 4
254231_at 0
249253_at 15
264465_at 0
257406_at 2
245064_at 8
245035_at 3
247864_s_at 10
253388_at 5
265902_at 5
256016_at 17
260294_at 12
257694_at 16
264107_s_at 0
252993_at 1
262314_at 3
249815_at 18
254620_at 24
262832_s_at 0
245089_at 0
259110_at 4
265442_at 2
246620_at 2
253549_at 22
251366_at 1
256178_s_at 5
250580_at 1
251667_at 19
256619_at 0
251059_at 0
250476_at 0
267205_at 0
264638_at 0
267516_at 1
265877_at 0
261570_at 5
256275_at 4
255969_at 4
248790_at 3
246827_at 4
250478_at 1
264025_at 2
247856_at 0
247030_at 0
245176_at 0
250939_at 2
257076_at 0
250936_at 0
257219_at 12
247597_at 0
265111_at 8
255488_at 2
247914_at 3
266988_at 1
267505_at 0
259943_at 3
245010_at 1
258025_at 2
261129_at 4
264147_at 0
249392_at 2
259072_at 0
252365_at 2
266353_at 1
244972_at 0
262260_at 1
256994_s_at 1
245011_at 1
265443_at 0
249774_at 2
245262_at 1
247470_at 1
244937_at 0
266715_at 1
260676_at 0
247467_at 0
247463_at 0
248224_at 2
252950_at 0
252563_at 5
248419_at 23
254553_at 2
256049_at 2
247638_at 13
262151_at 2
261975_at 2
246797_at 1
252272_at 10
246983_at 10
251157_at 4
262473_at 1
250133_at 2
251899_at 5
248377_at 3
251575_at 1
255549_at 0
265665_at 2
253860_at 2
245000_at 0
245024_at 0
252441_at 3
251688_at 0
254938_at 3
262168_at 1
251658_at 0
250261_at 5
259686_at 3
250500_at 10
250278_at 12
267260_at 1
245002_at 1
252858_at 2
263379_at 55
247362_at 64
260140_at 48
254931_at 44
260560_at 1
256858_at 52
245426_at 88
249850_at 12
253981_at 33
260937_at 99
266612_at 70
256377_at 25
256453_at 31
257164_at 44
263046_at 6
248969_at 25
249178_at 10
252122_at 18
250221_at 47
250987_at 27
249645_at 26
263525_at 27
248335_at 10
251206_at 30
267553_s_at 25
246738_at 27
246074_at 47
254501_at 32
259875_s_at 23
245602_at 5
250194_at 17
250625_at 12
254011_at 28
249741_at 29
264574_at 7
249425_at 19
262503_at 16
260921_at 14
248239_at 63
262661_s_at 24
263679_at 45
257342_at 33
253537_at 27
264213_at 32
249366_at 9
260815_at 66
258153_at 31
254580_at 8
246884_at 22
260285_at 39
263209_at 61
265051_at 59
267474_at 65
249284_at 6
257381_at 28
260428_at 9
264637_at 32
260364_at 40
259415_at 46
251008_at 46
252464_at 14
247668_at 20
248676_at 42
263847_at 16
247997_at 7
260343_at 51
256221_at 9
264314_at 14
249874_at 1
246375_at 15
256948_at 3
264019_at 19
263471_at 84
255465_at 21
266887_at 45
245861_at 55
256274_at 71
260592_at 3
259160_at 43
263457_at 8
247266_at 20
252387_at 13
267237_s_at 25
263548_at 51
255759_at 46
267570_at 17
253329_at 41
258355_at 61
263332_at 28
266778_at 20
265864_at 61
251935_at 27
258814_at 17
250225_at 11
246326_at 12
255062_at 34
248062_at 12
263864_at 43
257826_at 74
253733_at 57
247190_at 37
257832_at 8
266668_at 63
246152_at 62
258756_at 60
264128_at 15
259468_at 62
250216_at 31
266957_at 46
259158_at 27
267199_at 22
258428_at 73
246484_at 34
263971_at 16
252468_at 10
250198_at 22
256149_at 23
248277_at 44
260546_at 35
262505_at 7
260523_at 56
259382_s_at 12
266598_at 33
261370_at 2
262316_at 20
262698_at 40
250405_at 38
252588_at 8
252319_at 41
262543_at 62
266280_at 20
262502_at 31
253268_s_at 19
261205_at 15
250815_s_at 31
263098_at 5
265025_at 6
264024_at 1
251642_at 3
258946_at 14
256091_at 32
262892_at 23
248500_at 28
263758_s_at 26
245642_at 3
262103_at 16
253020_at 13
249977_at 35
251320_at 46
250138_at 41
258434_at 1
254022_at 40
249174_at 37
255939_at 58
255836_at 31
263593_at 47
266095_at 50
267364_at 3
246829_at 36
247707_at 13
266545_at 16
264992_at 10
246517_at 4
259889_at 11
264811_at 22
245668_at 8
250312_at 50
260799_at 16
263158_at 55
256512_at 8
246057_at 55
253281_at 54
264384_at 47
251551_at 7
247109_at 10
249763_at 22
260100_at 14
251958_at 50
248963_at 18
261738_s_at 21
258970_at 17
264945_at 4
264069_at 21
250649_at 19
256676_at 25
245110_at 14
246775_at 29
265138_at 6
260829_s_at 12
252340_at 22
267495_at 15
252724_at 8
265226_at 4
261923_at 76
265192_at 14
266275_at 18
266795_at 14
256206_at 10
265478_at 18
250394_at 43
251956_at 57
259548_at 6
247355_at 53
249276_at 9
266296_at 35
261553_at 18
258215_at 56
248744_at 16
249636_at 51
248339_at 35
261318_at 4
259118_at 24
257754_at 26
247035_at 4
265412_at 60
260070_at 2
265093_at 23
261632_at 15
263473_at 12
249742_at 13
254958_at 11
260746_at 11
264165_at 37
262236_at 3
251985_at 47
264656_at 14
257199_at 8
258806_at 16
256589_at 56
254147_at 14
266157_at 34
266347_at 42
261102_at 48
247525_at 18
260292_at 42
250419_at 29
266500_at 29
266745_at 38
260362_at 17
261901_at 1
258292_at 55
256060_at 12
256918_s_at 11
245770_at 45
254833_s_at 11
264094_at 34
252269_at 7
267592_at 19
255070_at 20
259040_at 4
249322_at 3
254645_at 34
258909_at 2
250529_at 21
250049_at 5
254343_at 25
265291_at 18
248634_at 5
251197_at 32
257985_at 21
258109_at 8
265629_at 6
255331_at 13
260656_at 0
258138_at 52
256786_at 58
262952_at 43
264400_at 27
248201_at 50
267530_at 27
257756_at 28
245194_at 16
260556_at 10
256426_at 45
249069_at 14
263118_at 5
252067_at 14
254608_at 30
259210_at 17
263842_at 28
256741_at 45
251442_at 41
260264_at 12
263126_at 1
257744_at 10
255302_at 18
249529_at 63
245638_s_at 42
256525_at 42
266874_at 51
263153_s_at 9
254293_at 111
253303_at 6
264885_s_at 11
257765_at 38
261715_at 30
247414_at 21
262738_at 12
250474_at 10
260462_at 22
244969_at 13
254057_at 36
267361_at 13
252043_at 37
261122_at 43
262714_s_at 20
256536_at 0
259038_at 87
256725_at 17
258923_at 34
265172_at 22
252118_at 15
255850_at 47
248698_at 7
254211_at 17
258983_at 41
253029_at 48
260146_at 0
246417_at 14
254282_at 31
251946_at 6
245569_at 20
256914_at 10
248271_at 5
256965_at 4
254872_at 21
253384_at 15
256765_at 3
250517_at 24
257140_at 39
249404_at 53
253686_at 17
251015_at 21
249869_at 32
251752_at 62
250975_at 2
265200_s_at 21
250421_at 92
251282_at 0
244985_at 21
246463_at 12
267201_at 24
255482_at 38
251920_at 49
253553_at 24
265098_at 28
247390_at 58
249090_at 40
264191_at 39
245307_at 24
248250_at 25
254427_at 52
250532_at 65
265059_at 21
266926_at 2
262050_at 7
247983_at 28
259172_at 24
251662_at 46
251327_at 12
248605_at 53
253343_at 8
249990_at 48
266016_at 2
254410_at 0
262518_at 2
258534_at 39
259757_at 12
262319_s_at 0
251487_at 5
247386_at 39
259968_at 9
263982_at 22
255736_at 10
261937_at 30
245937_at 11
260235_at 26
255621_at 8
253421_at 24
262517_at 11
248753_at 4
266120_at 67
262629_at 7
258804_at 35
251730_at 25
254758_at 13
253411_at 18
248021_at 15
265290_at 10
257937_at 42
251119_at 42
258287_at 21
265330_at 13
259363_at 60
254133_at 40
247867_at 5
251937_at 22
252859_at 4
246173_s_at 17
246464_at 37
258180_at 46
254659_at 6
244984_at 26
245285_s_at 27
262645_at 30
252160_at 1
266064_at 1
245628_at 2
256789_at 58
247223_at 30
250412_at 3
258897_at 34
264855_at 25
250865_at 60
265208_at 27
248228_at 41
258815_at 142
251521_at 46
262620_at 7
248381_at 7
245188_at 14
251799_at 35
252291_s_at 0
247348_at 41
267596_s_at 4
266891_at 11
257730_at 45
255652_at 28
249826_at 21
256061_at 3
261177_at 31
