name cluster
248253_at 1
260555_at 2
265006_at 1
247373_at 1
266258_at 1
256438_s_at 1
259326_at 1
260132_s_at 1
250179_at 1
258821_at 1
258937_at 3
259225_at 1
249625_at 1
253996_at 1
264441_at 1
251552_at 1
247010_at 3
250974_at 1
266535_s_at 1
256065_at 1
266074_at 1
256597_at 3
264913_at 1
247520_at 1
246699_at 1
252328_at 4
264679_s_at 1
251740_at 1
263371_at 1
265101_at 1
258922_at 1
264849_at 1
254190_at 2
246965_at 1
249975_s_at 1
253202_at 1
266822_at 1
258656_at 1
260605_at 1
247739_at 4
261272_at 1
247465_at 1
263759_at 1
247006_at 4
254429_at 1
254734_at 1
258623_at 1
261019_at 1
248473_at 1
251707_at 1
253593_at 1
245909_at 1
260541_at 1
262611_at 1
266980_at 1
249343_at 1
258105_at 2
259090_at 1
258079_at 1
246384_at 1
266239_at 1
261314_at 1
255749_at 4
254594_at 1
259123_at 1
265445_at 1
246559_at 1
248746_at 1
261508_at 1
254030_at 1
245106_at 1
258453_at 1
259515_at 1
254355_at 1
248614_at 1
246265_at 1
249427_at 1
265899_s_at 1
256812_at 1
246538_at 1
245147_at 1
257058_at 1
258701_at 1
250895_at 1
250168_at 2
259069_at 1
264166_at 1
256648_at 1
247641_at 1
252147_at 1
253777_at 1
251403_at 1
250721_at 1
260351_at 1
246944_at 2
264803_at 1
247735_at 1
251537_at 1
259908_at 1
253203_at 1
258726_at 1
251094_at 1
255871_at 1
246730_at 1
265358_at 1
260323_at 1
258792_at 1
248979_at 2
251018_at 1
251355_at 3
244993_s_at 1
263224_at 1
251189_at 1
245512_at 1
256288_at 1
261470_at 2
266426_x_at 2
255520_at 1
257906_at 1
253942_at 1
252326_at 1
247978_at 1
246192_at 1
246457_at 1
257135_at 3
264658_at 1
263973_at 1
252117_at 2
259861_at 1
259977_at 2
250845_at 1
260584_at 2
254624_at 2
261951_at 4
246400_at 1
255685_s_at 1
263839_at 2
258158_at 2
259941_s_at 2
260517_at 1
245523_at 4
248942_at 3
266000_at 1
263016_at 3
250495_at 1
247409_at 1
264560_at 1
254784_at 1
261317_at 2
249055_at 2
254231_at 1
249253_at 1
264465_at 2
257406_at 1
245064_at 2
245035_at 1
247864_s_at 1
253388_at 1
265902_at 1
256016_at 1
260294_at 1
257694_at 1
264107_s_at 1
252993_at 2
262314_at 2
249815_at 3
254620_at 1
262832_s_at 1
245089_at 2
259110_at 1
265442_at 1
246620_at 1
253549_at 1
251366_at 4
256178_s_at 2
250580_at 1
251667_at 1
256619_at 3
251059_at 3
250476_at 1
267205_at 1
264638_at 2
267516_at 3
265877_at 3
261570_at 3
256275_at 3
255969_at 3
248790_at 4
246827_at 3
250478_at 3
264025_at 1
247856_at 3
247030_at 3
245176_at 3
250939_at 3
257076_at 3
250936_at 2
257219_at 3
247597_at 4
265111_at 2
255488_at 3
247914_at 4
266988_at 1
267505_at 1
259943_at 3
245010_at 4
258025_at 3
261129_at 1
264147_at 3
249392_at 3
259072_at 3
252365_at 3
266353_at 3
244972_at 3
262260_at 3
256994_s_at 2
245011_at 4
265443_at 2
249774_at 4
245262_at 1
247470_at 3
244937_at 1
266715_at 3
260676_at 4
247467_at 3
247463_at 1
248224_at 3
252950_at 3
252563_at 2
248419_at 3
254553_at 3
256049_at 3
247638_at 3
262151_at 3
261975_at 3
246797_at 3
252272_at 3
246983_at 3
251157_at 3
262473_at 3
250133_at 3
251899_at 1
248377_at 3
251575_at 3
255549_at 3
265665_at 3
253860_at 3
245000_at 4
245024_at 2
252441_at 3
251688_at 4
254938_at 3
262168_at 3
251658_at 4
250261_at 3
259686_at 1
250500_at 3
250278_at 3
267260_at 3
245002_at 4
252858_at 2
263379_at 1
247362_at 1
260140_at 1
254931_at 1
260560_at 1
256858_at 1
245426_at 1
249850_at 1
253981_at 1
260937_at 1
266612_at 1
256377_at 1
256453_at 1
257164_at 1
263046_at 1
248969_at 1
249178_at 1
252122_at 1
250221_at 1
250987_at 1
249645_at 1
263525_at 1
248335_at 1
251206_at 1
267553_s_at 1
246738_at 1
246074_at 1
254501_at 1
259875_s_at 1
245602_at 1
250194_at 1
250625_at 1
254011_at 1
249741_at 1
264574_at 1
249425_at 1
262503_at 2
260921_at 1
248239_at 1
262661_s_at 1
263679_at 1
257342_at 1
253537_at 1
264213_at 1
249366_at 1
260815_at 1
258153_at 1
254580_at 1
246884_at 1
260285_at 1
263209_at 1
265051_at 1
267474_at 1
249284_at 1
257381_at 1
260428_at 1
264637_at 1
260364_at 1
259415_at 1
251008_at 1
252464_at 2
247668_at 1
248676_at 1
263847_at 1
247997_at 1
260343_at 1
256221_at 1
264314_at 1
249874_at 1
246375_at 1
256948_at 1
264019_at 1
263471_at 1
255465_at 1
266887_at 1
245861_at 1
256274_at 1
260592_at 2
259160_at 1
263457_at 1
247266_at 1
252387_at 1
267237_s_at 1
263548_at 1
255759_at 1
267570_at 1
253329_at 1
258355_at 1
263332_at 1
266778_at 1
265864_at 1
251935_at 1
258814_at 1
250225_at 1
246326_at 1
255062_at 1
248062_at 1
263864_at 1
257826_at 1
253733_at 1
247190_at 1
257832_at 1
266668_at 1
246152_at 1
258756_at 1
264128_at 1
259468_at 1
250216_at 1
266957_at 1
259158_at 1
267199_at 1
258428_at 1
246484_at 1
263971_at 1
252468_at 1
250198_at 1
256149_at 1
248277_at 1
260546_at 1
262505_at 1
260523_at 1
259382_s_at 1
266598_at 1
261370_at 1
262316_at 1
262698_at 1
250405_at 1
252588_at 1
252319_at 1
262543_at 1
266280_at 1
262502_at 1
253268_s_at 2
261205_at 1
250815_s_at 1
