Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
246944_at			5	8856997, 8856997	AT5G25450	832619	12970493, 14671022, 15047901, 15829605, 16113211, 16258017, 18212028, 18189341, 18305213, 18650403, 18603616, 18775970	GO:0005739: mitochondrion, GO:0005739: mitochondrion, GO:0005750: mitochondrial respiratory chain complex III, GO:0006122: mitochondrial electron transport, ubiquinol to cytochrome c, GO:0008121: ubiquinol-cytochrome-c reductase activity, GO:0016020: membrane	00190: Oxidative phosphorylation, 01100: Metabolic pathways
248979_at	AtPP2-A6, PP2-A6		5, 5	-18191575	AT5G45080	834539	12366802, 12529520, 16998091, 17061125	GO:0005737: cytoplasm, GO:0006952: defense response, GO:0030246: carbohydrate binding	
258158_at	ATACP5, ATPAP17, PAP17		3, 3, 3	6089605	AT3G17790	821047	17419847, 17408486, 17559508, 18506479, 18650403, 18684332, 18775970, 21546457, 10504579, 12021284, 12432076, 14617064, 15681455, 16244908, 16244138, 16679424, 16673935, 16963519, 17085508, 17085506, 17346263	GO:0003993: acid phosphatase activity, GO:0004722: protein serine/threonine phosphatase activity, GO:0005576: extracellular region, GO:0009986: cell surface, GO:0016036: cellular response to phosphate starvation, GO:0016791: phosphatase activity, GO:0019375: galactolipid biosynthetic process, GO:0030643: cellular phosphate ion homeostasis, GO:0042542: response to hydrogen peroxide, GO:0045892: negative regulation of transcription, DNA-templated	
248790_at	ATTIP2;3, DELTA-TIP3, TIP2;3	Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3)., Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3)., Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3).	5, 5, 5	-19248249	AT5G47450	834794	11500536, 14730065, 15086809, 15634198, 15665250, 15734912, 16183846, 16258012, 16284307, 17061125, 19922653, 23148892	GO:0000041: transition metal ion transport, GO:0006810: transport, GO:0006826: iron ion transport, GO:0009651: response to salt stress, GO:0009705: plant-type vacuole membrane, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0010413: glucuronoxylan metabolic process, GO:0015200: methylammonium transmembrane transporter activity, GO:0015250: water channel activity, GO:0015706: nitrate transport, GO:0016020: membrane, GO:0042807: central vacuole, GO:0045492: xylan biosynthetic process	
249774_at	SQE5, SQP1	squalene monooxygenase gene homolog, squalene monooxygenase gene homolog	5, 5	-8172332, -8172316	AT5G24150	832480	10350086, 12753585, 12777052, 15111722, 17426032, 17905899, 19309460, 22487254	GO:0004506: squalene monooxygenase activity, GO:0005576: extracellular region, GO:0016126: sterol biosynthetic process, GO:0016126: sterol biosynthetic process, GO:0019745: pentacyclic triterpenoid biosynthetic process	00100: Steroid biosynthesis, 01100: Metabolic pathways, 01110: Biosynthesis of secondary metabolites
258815_at			3	1035500	AT3G04000	819555	14576160, 15047901, 15824099, 21169366	GO:0005515: protein binding, GO:0008106: alcohol dehydrogenase (NADP+) activity, GO:0008152: metabolic process, GO:0009407: toxin catabolic process, GO:0009507: chloroplast, GO:0010583: response to cyclopentenone, GO:0016491: oxidoreductase activity, GO:0046482: para-aminobenzoic acid metabolic process, GO:0055114: oxidation-reduction process	00061: Fatty acid biosynthesis, 01040: Biosynthesis of unsaturated fatty acids, 01100: Metabolic pathways
253841_at	AtBGLU10, BGLU10		4, 4	-13861718	AT4G27830	828896	12481097, 14617064, 14973164, 15235117, 15539469, 15824099, 17704230, 18650403, 15604686, 23298714	GO:0004553: hydrolase activity, hydrolyzing O-glycosyl compounds, GO:0005773: vacuole, GO:0009610: response to symbiotic fungus, GO:0046283: anthocyanin-containing compound metabolic process	
246125_at			5	6718341	AT5G19875	832109	15489280, 17888165, 18305208, 18650403, 18614705	GO:0003674: molecular_function, GO:0005739: mitochondrion, GO:0006979: response to oxidative stress	
266294_at			2	-12633091	AT2G29500	817499	12169696, 12427978, 14690509, 14973164, 14964527, 15082927, 15047901, 15194820, 15634198, 16021335, 16081496, 16183833, 16291648, 16531488, 17061125, 17059409, 17080642, 18156220, 18212028, 18189342, 18305208, 18252252, 18334669, 18603616, 18783601, 18775970, 21443605	GO:0003674: molecular_function, GO:0005737: cytoplasm, GO:0005737: cytoplasm, GO:0006457: protein folding, GO:0006979: response to oxidative stress, GO:0009408: response to heat, GO:0009408: response to heat, GO:0009408: response to heat, GO:0009644: response to high light intensity, GO:0009644: response to high light intensity, GO:0010286: heat acclimation, GO:0034976: response to endoplasmic reticulum stress, GO:0042542: response to hydrogen peroxide, GO:0042542: response to hydrogen peroxide	04141: Protein processing in endoplasmic reticulum
248118_at			5	22337701	AT5G55050	835596	17061125, 18650403, 18603616	GO:0005576: extracellular region, GO:0015824: proline transport	
