Probe	Symbol	Description	Chromosome	Chromosome Location	GenBank	Gene	PubMed	Gene Ontology	Pathway
252328_at			3	-18003913	AT3G48570	824017	15659355, 18650403, 18775970	GO:0005886: plasma membrane, GO:0006605: protein targeting, GO:0006865: amino acid transport, GO:0006886: intracellular protein transport, GO:0015824: proline transport	03060: Protein export, 04141: Protein processing in endoplasmic reticulum, 04145: Phagosome
247739_at			5	-23902465	AT5G59240	836042	11598216, 15310832, 15821981, 17934214, 20226671	GO:0000462: maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA), GO:0003735: structural constituent of ribosome, GO:0003735: structural constituent of ribosome, GO:0005737: cytoplasm, GO:0005840: ribosome, GO:0006412: translation, GO:0006414: translational elongation, GO:0009165: nucleotide biosynthetic process, GO:0016020: membrane, GO:0022626: cytosolic ribosome, GO:0022627: cytosolic small ribosomal subunit, GO:0022627: cytosolic small ribosomal subunit, GO:0042254: ribosome biogenesis	03010: Ribosome
247006_at			5	-26934153	AT5G67490	836885	12853141, 14576160, 18650403, 18775970	GO:0003674: molecular_function, GO:0008150: biological_process	
255749_at	STRS1		1	11479866	AT1G31970	840087	12169696, 16258011, 16621846, 17556511, 18441339	GO:0001510: RNA methylation, GO:0005634: nucleus, GO:0005829: cytosol, GO:0008026: ATP-dependent helicase activity	
261951_at			1	23952133	AT1G64490	842757	20736450	GO:0005634: nucleus, GO:0008150: biological_process	
245523_at	ATDI21, DI21	encodes a gene whose transcript level in root and leaves increases to progressive drought stress. The transcript level is also affected by changes of endogenous or exogenous abscisic acid level. It appears to be a member of plant-specific gene family that includes late embryo-abundant and zinc- IAA-induced proteins in other plants., encodes a gene whose transcript level in root and leaves increases to progressive drought stress. The transcript level is also affected by changes of endogenous or exogenous abscisic acid level. It appears to be a member of plant-specific gene family that includes late embryo-abundant and zinc- IAA-induced proteins in other plants.	4, 4	9028461	AT4G15910	827273	9037168, 7823904, 12535341, 12671089, 14576160, 14730065, 15047901, 15144383, 15165189, 15282545, 15341633, 15634197, 16121258, 16131496, 16214899, 16367961, 16463051, 16901781, 18318901, 18315867, 18684332, 18805951, 18775970	GO:0003674: molecular_function, GO:0009414: response to water deprivation, GO:0009507: chloroplast, GO:0009737: response to abscisic acid	
251366_at			3	-22701079	AT3G61340	825306	16489130, 18775970, 20226671	GO:0003674: molecular_function, GO:0005634: nucleus, GO:0007059: chromosome segregation, GO:0007129: synapsis, GO:0007131: reciprocal meiotic recombination, GO:0008150: biological_process, GO:0042138: meiotic DNA double-strand break formation	
248790_at	ATTIP2;3, DELTA-TIP3, TIP2;3	Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3)., Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3)., Tonoplast intrinsic protein, transports ammonium (NH3) and methylammonium across the tonoplast membrane, gene expression shows diurnal regulation and is upregulated by ammonium (NH3).	5, 5, 5	-19248249	AT5G47450	834794	11500536, 14730065, 15086809, 15634198, 15665250, 15734912, 16183846, 16258012, 16284307, 17061125, 19922653, 23148892	GO:0000041: transition metal ion transport, GO:0006810: transport, GO:0006826: iron ion transport, GO:0009651: response to salt stress, GO:0009705: plant-type vacuole membrane, GO:0010106: cellular response to iron ion starvation, GO:0010167: response to nitrate, GO:0010413: glucuronoxylan metabolic process, GO:0015200: methylammonium transmembrane transporter activity, GO:0015250: water channel activity, GO:0015706: nitrate transport, GO:0016020: membrane, GO:0042807: central vacuole, GO:0045492: xylan biosynthetic process	
247597_at	AtRABA1f, RABA1f		5, 5	24484622	AT5G60860	836207	12644670, 18775970	GO:0005525: GTP binding, GO:0016192: vesicle-mediated transport	
247914_at	AtXTH13, XTH13	Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity., Encodes a xyloglucan endotransglucosylase/hydrolase with only only the endotransglucosylase (XET; EC   2.4.1.207) activity towards xyloglucan and non-detectable endohydrolytic (XEH; EC 3.2.1.151) activity.	5, 5	-23302996	AT5G57540	835858	11673616, 12514239, 15720654, 16412086, 18772308, 20732879, 22253603	GO:0005576: extracellular region, GO:0010054: trichoblast differentiation, GO:0010411: xyloglucan metabolic process, GO:0016798: hydrolase activity, acting on glycosyl bonds, GO:0048765: root hair cell differentiation	
